Tuesday	group	lesson	name	teacher	time	place	room	form
Tuesday	P3107		INFORMATICS(LEK)	Pavel Balakshin	08:20-09:50	Lomonosova st., 9, letter M	CERTIFIC HALL	fulltime- remote	
			BASICS OF PROFESSIONAL ACTIVITIES(LEK)	Klimenkov Sergey Viktorovich	10:00-11:30	Lomonosova st., 9, letter M	CERTIFIC HALL	fulltime- remote	
			PROGRAMMING(LEK)	Pismak Alexey Evgenyevich	11:40-13:10	Lomonosova st., 9, letter M	AUD 1223	fulltime- remote	
